date,code,action,price,shares,value,cost,hold_days
2021-09-06,000983,buy,92.82,985.9580071251535,91516.62222135674,91.51662222135674,0
2021-09-08,000983,sell,102.42,985.9580071251535,100981.81908975822,100.98181908975823,2
2021-09-10,000001,sell,3238.99,32.0242206711282,103726.13051157752,103.72613051157752,7
2021-09-10,601001,sell,32.02,1107.4594172822776,35460.85054137853,35.460850541378534,8
2021-09-10,601088,sell,37.09,1341.8604518393356,49769.60415872096,49.769604158720966,163
2021-09-13,000983,buy,109.95,337.48872192424534,37106.88497557078,37.10688497557078,0
2021-09-13,601001,buy,31.18,1190.08611210939,37106.88497557078,37.10688497557078,0
2021-09-13,601088,buy,36.18,1025.6187113203641,37106.88497557077,37.10688497557077,0
2021-09-14,000983,sell,108.90999999999998,337.48872192424534,36755.896704769555,36.755896704769555,1
2021-09-14,601001,sell,32.44,1190.08611210939,38606.393476828605,38.60639347682861,1
2021-09-14,601898,sell,10.68,2852.0242521911196,30459.619013401156,30.459619013401156,12
2021-09-17,601088,sell,36.16,1025.6187113203641,37086.37260134437,37.086372601344365,4
2021-09-17,601001,buy,31.46,1819.039966942199,57226.99736000158,57.22699736000158,0
2021-09-17,601898,buy,11.12,5146.312712230359,57226.99736000158,57.22699736000158,0
2021-09-22,601001,sell,29.32,1819.039966942199,53334.25183074528,53.33425183074528,5
2021-09-22,601898,sell,10.64,5146.312712230359,54756.76725813102,54.75676725813102,5
2021-09-24,601088,buy,36.5,1558.8416802124598,56897.721327754785,56.89772132775479,0
2021-09-24,601898,buy,10.79,5273.190113786357,56897.721327754785,56.89772132775479,0
2021-09-27,601898,sell,10.59,5273.190113786357,55843.08330499752,55.84308330499752,3
2021-09-29,000001,buy,3071.59,35.15548718021035,107983.24286786231,107.98324286786232,0
2021-10-08,601088,sell,36.69,1558.8416802124598,57193.90124699515,57.193901246995146,14
2021-10-13,601001,buy,27.02,1903.9191523198394,51443.89549568206,51.443895495682064,0
2021-10-13,601898,buy,10.67,4821.358528180137,51443.89549568206,51.443895495682064,0
2021-10-18,601001,sell,26.04,1903.9191523198394,49578.05472640862,49.578054726408624,5
2021-10-18,601898,sell,9.650000000000002,4821.358528180137,46526.10979693833,46.526109796938336,5
2021-10-19,000983,buy,88.27,578.8463189589381,51094.76457450547,51.09476457450547,0
2021-10-19,601088,buy,37.11,1376.8462563865662,51094.76457450547,51.09476457450547,0
2021-10-20,000983,sell,77.96,578.8463189589381,45126.859026038816,45.126859026038815,1
2021-10-20,601001,buy,25.52,1890.057415711133,48234.26524894811,48.23426524894811,0
2021-10-20,601898,buy,9.64,5003.554486405405,48234.26524894811,48.23426524894811,0
2021-10-22,601001,sell,26.020000000000003,1890.057415711133,49179.29395680369,49.17929395680369,2
2021-10-22,601088,sell,36.35,1376.8462563865662,50048.36141965169,50.048361419651684,3
2021-10-22,601898,sell,9.7,5003.554486405405,48534.478518132426,48.534478518132424,2
2021-10-26,000002,sell,3649.14,7.430461938278449,27114.79587744942,27.114795877449417,54
2021-11-02,601001,buy,24.78,4208.322674708771,104282.23587928335,104.28223587928336,0
2021-11-05,601001,sell,23.02,4208.322674708771,96875.5879717959,96.87558797179591,3
2021-11-09,000002,buy,3344.12,30.956262127599935,103521.4553061495,103.52145530614949,0
2021-11-11,000001,sell,2988.7,35.15548718021035,105069.20453549467,105.06920453549468,43
2021-11-12,000002,sell,3637.3600000000006,30.956262127599935,112599.06961244691,112.59906961244691,3
2021-11-15,000001,buy,3151.23,36.4632280783641,114904.01821738329,114.9040182173833,0
2021-11-18,000002,buy,3486.81,29.655222393483793,103402.12599382323,103.40212599382323,0
2021-11-19,601088,buy,32.67,2848.2269109838235,93051.57318184152,93.05157318184152,0
2021-11-23,601001,buy,20.28,4129.048851397395,83737.11070633918,83.73711070633918,0
2021-11-25,000983,buy,69.45,1085.025571269037,75355.02592463462,75.35502592463463,0
2021-11-26,601898,buy,7.59,8934.385748297587,67811.98782957869,67.8119878295787,0
2021-12-03,601001,sell,19.46,4129.048851397395,80351.29064819332,80.35129064819331,10
2021-12-07,601001,buy,21.94,3147.2699080944562,69051.10178359237,69.05110178359237,0
2021-12-14,000001,sell,3120.35,36.4632280783641,113778.0337343234,113.7780337343234,29
2021-12-14,601001,sell,21.64,3147.2699080944562,68106.92081116403,68.10692081116403,7
2021-12-16,601898,sell,7.91,8934.385748297587,70670.99126903391,70.67099126903392,20
2021-12-17,601001,buy,22.42,3896.9413685069335,87369.42548192546,87.36942548192546,0
2021-12-20,601001,sell,21.96,3896.9413685069335,85576.83245241226,85.57683245241226,3
2021-12-20,601898,buy,8.55,10195.65749160008,87172.8715531807,87.1728715531807,0
2021-12-24,601001,buy,22.16,3540.021079003038,78446.86711070732,78.44686711070732,0
2022-01-06,000001,buy,2949.69,23.932798264538143,70594.33571292552,70.59433571292551,0
