date,actual,predicted,pred_return,signal,position,cash,total,returns
2022-05-09,104.23248566373736,110.6617069322064,-0.011566412582076802,-1,0.0,1000000,1000000.0,0.0
2022-05-10,104.49988549892754,109.04271462326888,-0.014630104250328846,-1,0.0,1000000,1000000.0,0.0
2022-05-11,104.76769671847956,107.22251960630986,-0.01669249544316287,-1,0.0,1000000,1000000.0,0.0
2022-05-12,103.09583067199816,107.0215378566858,-0.0018744359893986262,-1,0.0,1000000,1000000.0,0.0
2022-05-13,104.63358541652264,106.4742540368485,-0.005113772711528131,-1,0.0,1000000,1000000.0,0.0
2022-05-16,103.29658624057171,106.38792960838325,-0.0008107540104050903,-1,0.0,1000000,1000000.0,0.0
2022-05-17,105.30249638885996,106.36643638244772,-0.00020202692180071313,-1,0.0,1000000,1000000.0,0.0
2022-05-18,105.56989622405013,106.63163667722677,0.0024932704695068697,-1,0.0,1000000,1000000.0,0.0
2022-05-19,104.70064106750112,108.0954157555066,0.013727437033632661,-1,0.0,1000000,1000000.0,0.0
2022-05-20,107.3750508037648,107.96973060160148,-0.0011627241823962686,-1,0.0,1000000,1000000.0,0.0
2022-05-23,106.10469589443048,108.25425471259544,0.002635221088434836,-1,0.0,1000000,1000000.0,0.0
2022-05-24,103.22953058959324,109.0195240350983,0.007069184712735543,-1,0.0,1000000,1000000.0,0.0
2022-05-25,103.16288632297662,108.94392613247372,-0.0006934345319673518,-1,0.0,1000000,1000000.0,0.0
2022-05-26,101.82547576266388,107.71102849242072,-0.011316809333214328,-1,0.0,1000000,1000000.0,0.0
2022-05-27,101.75883149604722,106.89010778444651,-0.007621510252610486,-1,0.0,1000000,1000000.0,0.0
2022-05-30,101.09033190807176,106.2803831301975,-0.0057042196596767125,-1,0.0,1000000,1000000.0,0.0
2022-05-31,101.62513157845214,105.5858405820114,-0.00653500229986248,-1,0.0,1000000,1000000.0,0.0
2022-06-01,101.09033190807176,105.06276175026036,-0.004954062295358108,-1,0.0,1000000,1000000.0,0.0
2022-06-02,100.22107675152276,104.76358408008888,-0.0028476090404195853,-1,0.0,1000000,1000000.0,0.0
2022-06-06,101.69177584506878,103.78793223250608,-0.009312891078993024,-1,0.0,1000000,1000000.0,0.0
2022-06-07,101.62513157845214,104.53925104527788,0.007238980453803556,-1,0.0,1000000,1000000.0,0.0
2022-06-08,101.62513157845214,104.19049834556544,-0.0033360933450861108,-1,0.0,1000000,1000000.0,0.0
2022-06-09,102.89548648778644,104.06933279524488,-0.0011629232247138965,-1,0.0,1000000,1000000.0,0.0
2022-06-10,102.69473091921289,105.19835990136096,0.010848797391037612,-1,0.0,1000000,1000000.0,0.0
2022-06-13,99.95367691633255,104.35607653377704,-0.008006620715129809,-1,0.0,1000000,1000000.0,0.0
2022-06-14,101.35773174326197,104.23153634611332,-0.0011934157722326422,-1,0.0,1000000,1000000.0,0.0
2022-06-15,105.50284057307168,104.55140375713862,0.0030688160439575896,-1,0.0,1000000,1000000.0,0.0
2022-06-16,103.49734180914528,108.1030589073463,0.03397042050681387,1,9662.083900126192,999000,1999000.0,0.9990000000000001
2022-06-17,103.5639860757619,108.04977780286598,-0.0004928732361402233,-1,0.0,998001,998001.0,-0.5007498749374688
2022-06-20,102.82843083680795,106.61720407644668,-0.013258460642399328,-1,0.0,1000000,1000000.0,0.0020030040050060816
2022-06-21,103.02918640538152,105.92435889049568,-0.006498437020109993,-1,0.0,1000000,1000000.0,0.0
2022-06-22,101.09033190807176,106.13092486143756,0.0019501271766528827,-1,0.0,1000000,1000000.0,0.0
2022-06-23,101.89253141364232,105.65177657652852,-0.004514690562949619,-1,0.0,1000000,1000000.0,0.0
2022-06-24,102.09287559785406,105.12339474323824,-0.005001163732514691,-1,0.0,1000000,1000000.0,0.0
2022-06-27,103.83138591095208,104.87157247506951,-0.0023954921621756053,-1,0.0,1000000,1000000.0,0.0
2022-06-28,104.76769671847956,106.09849419482738,0.011699278372597544,-1,0.0,1000000,1000000.0,0.0
2022-06-29,104.8343409850962,106.98726921795124,0.008376886306150633,-1,0.0,1000000,1000000.0,0.0
2022-06-30,107.10765096857462,107.91262289941956,0.008649194322206899,-1,0.0,1000000,1000000.0,0.0
2022-07-01,106.70655121578932,109.12981240612532,0.0112793987765476,-1,0.0,1000000,1000000.0,0.0
2022-07-04,106.84025113338444,110.25234132664312,0.010286180245049126,-1,0.0,1000000,1000000.0,0.0
2022-07-05,106.63949556481089,110.31331580078071,0.0005530447100161595,-1,0.0,1000000,1000000.0,0.0
2022-07-06,104.09878574614228,109.90098734397868,-0.003737794062383837,-1,0.0,1000000,1000000.0,0.0
2022-07-07,103.36323050718832,109.20755963134344,-0.006309567633499769,-1,0.0,1000000,1000000.0,0.0
2022-07-08,104.16584139712072,107.91836781775372,-0.011804968611529354,-1,0.0,1000000,1000000.0,0.0
2022-07-11,103.63104172674036,107.6509478954365,-0.0024779833843374677,-1,0.0,1000000,1000000.0,0.0
2022-07-12,103.36323050718832,107.1469719215029,-0.004681574884255801,-1,0.0,1000000,1000000.0,0.0
2022-07-13,100.35477666911784,107.485409881479,0.003158632987071641,-1,0.0,1000000,1000000.0,0.0
2022-07-14,96.3429563725414,106.64380947621451,-0.007829903669646865,-1,0.0,1000000,1000000.0,0.0
2022-07-15,95.4737012159924,103.57950820231277,-0.02873398173745101,-1,0.0,1000000,1000000.0,0.0
2022-07-18,96.4766562901365,100.12458261237838,-0.03335530019302846,-1,0.0,1000000,1000000.0,0.0
2022-07-19,96.67741185871004,98.51723079356202,-0.016053518295692126,-1,0.0,1000000,1000000.0,0.0
