date,total
2021-07-12,1319617.9640000009
2021-07-13,1375675.9640000009
2021-07-14,1333128.9640000009
2021-07-15,1313584.9640000009
2021-07-16,1319388.9640000009
2021-07-19,1321610.9640000009
2021-07-20,1320536.0660000008
2021-07-21,1327762.946000001
2021-07-22,1319527.946000001
2021-07-23,1344950.946000001
2021-07-26,1344220.946000001
2021-07-27,1346358.946000001
2021-07-28,1322785.946000001
2021-07-29,1295122.946000001
2021-07-30,1316174.946000001
2021-08-02,1325070.946000001
2021-08-03,1390553.946000001
2021-08-04,1364448.946000001
2021-08-05,1378506.946000001
2021-08-06,1385956.946000001
2021-08-09,1404293.946000001
2021-08-10,1410624.946000001
2021-08-11,1420803.946000001
2021-08-12,1416761.946000001
2021-08-13,1438466.946000001
2021-08-16,1454895.946000001
2021-08-17,1435341.946000001
2021-08-18,1394307.946000001
2021-08-19,1387781.946000001
2021-08-20,1358964.946000001
2021-08-23,1353543.946000001
2021-08-24,1370316.946000001
2021-08-25,1388845.946000001
2021-08-26,1402597.946000001
2021-08-27,1395224.946000001
2021-08-30,1428743.946000001
2021-08-31,1425027.946000001
2021-09-01,1427651.946000001
2021-09-02,1390565.946000001
2021-09-03,1434851.946000001
2021-09-06,1437691.946000001
2021-09-07,1423554.946000001
2021-09-08,1434381.946000001
2021-09-09,1444241.946000001
2021-09-10,1482230.946000001
2021-09-13,1508245.946000001
2021-09-14,1502121.946000001
2021-09-15,1451328.946000001
2021-09-16,1484765.946000001
2021-09-17,1435414.946000001
2021-09-22,1407239.946000001
2021-09-23,1432398.946000001
2021-09-24,1413851.946000001
2021-09-27,1392563.946000001
2021-09-28,1318799.946000001
2021-09-29,1310385.946000001
2021-09-30,1286133.946000001
2021-10-08,1318422.946000001
2021-10-11,1343776.946000001
2021-10-12,1349805.946000001
2021-10-13,1340902.946000001
2021-10-14,1358300.946000001
2021-10-15,1362135.946000001
2021-10-18,1381963.946000001
2021-10-19,1371185.946000001
2021-10-20,1381602.946000001
2021-10-21,1373680.946000001
2021-10-22,1358423.946000001
2021-10-25,1338784.946000001
2021-10-26,1343912.946000001
2021-10-27,1335618.946000001
2021-10-28,1293226.946000001
